cohort_id,user_count,percentage,dominant_PROFILE_TYPE,dominant_PROFILE_TYPE_percentage,dominant_Location_CITY,dominant_Location_CITY_percentage,dominant_Location_Region_user,dominant_Location_Region_user_percentage,dominant_Location_Country_user,dominant_Location_Country_user_percentage,dominant_Genre_user,dominant_Genre_user_percentage,dominant_Language_user,dominant_Language_user_percentage,dominant_Content_type_user,dominant_Content_type_user_percentage,dominant_Category_user,dominant_Category_user_percentage
979,25,0.03317,Adult,100.0,"New Delhi (Connaught Lane), Pune, Chennai",12.0,"TN, MH, DL",20.0,India,88.0,"Entertainment,Educational,Infotainment",24.0,Hindi,92.0,Video,100.0,TV Channels,76.0
980,28,0.037151,Adult,100.0,"Mohali, Navi Mumbai (Reliance Corporate Park)",7.1429,"MH, MP",25.0,India,100.0,"Drama, Drama,Entertainment, Comedy",3.5714,Hindi,71.4286,Video,100.0,"Movies, Shows",60.7143
981,5,0.006634,Adult,100.0,Ullal,40.0,KA,80.0,India,100.0,"Akashvani, Music, Educational,News,Infotainment, Action,Thriller",20.0,"Kannada, Hindi",40.0,"Audio, Video",80.0,"Radio Channels, TV Channels, Movies",60.0
982,36,0.047765,Adult,100.0,Navi Mumbai (Reliance Corporate Park),97.2222,MH,97.2222,India,100.0,"Biography,History,Arts & Culture,Paintings,Storytelling",8.3333,English,50.0,Video,100.0,Documentaries,66.6667
983,6,0.007961,Child,83.3333,Guntur,50.0,AP,50.0,India,100.0,"Kids & Family,Animation,Music,Edutainment,Kids",16.6667,Hindi,50.0,Video,83.3333,Shows,50.0
984,10,0.013268,Adult,100.0,Tokai (Tōkai Mura),70.0,08,70.0,Japan,100.0,"Action,Crime,Thriller",20.0,NC,90.0,Video,80.0,Movies,80.0
985,4,0.005307,Adult,100.0,"Patna (Police Colony), Pataliputra Housing Colony",25.0,BR,75.0,India,100.0,"Entertainment,Movies, Action,Drama,Political,Entertainment",25.0,"Bhojpuri, Hindi",25.0,Video,75.0,"TV Channels, Shows",50.0
986,26,0.034497,Adult,100.0,Sri Ganganagar,92.3077,RJ,100.0,India,100.0,"Action,Drama,Political,Entertainment",19.2308,Hindi,50.0,Video,100.0,Movies,57.6923
987,7,0.009288,Adult,100.0,"Nashik, Jalgaon",14.2857,DL,57.1429,India,100.0,"Music & Dance,Reality, Arts & Culture,Music",28.5714,NC,100.0,Video,100.0,Shows,71.4286
988,20,0.026536,Guest,100.0,Navi Mumbai (Reliance Corporate Park),30.0,MH,50.0,India,100.0,Drama,35.0,NC,100.0,Video,100.0,Shows,100.0
989,4,0.005307,Adult,100.0,Clement Town,50.0,UT,50.0,India,100.0,"Action,Drama,Thriller,Crime, Romance,Drama",25.0,NC,100.0,Video,100.0,Movies,75.0
