id,user_id,video_id,channel_id,lang_id,duration,title,description,file_url,dash_url,hls_url,c_status,visibility,views_count,likes_count,dislikes_count,comments_count,vdc_id,content_id,categories_id,allow_comments,allow_subtitles,made_for_kids,status,smart_link_id,scheduled_at,is_deleted,created_at,modified_at,unpublished_at
61,6073b8d5-a550-4505-8b70-e78232d405d6,b815f227-f7c3-4fa2-930f-e05847868654,5f5e9589-dabc-476d-8660-6e40379ad05a,0,16,APJ Abdul Kalam On Creativity,APJ Abdul Kalam On Creativity,,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm/4584319/1761499465_9918263928068659/APJ_Abdul_Kalam_on_CREATIVITY.mpd,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm_ios/4584319/1761499465_6236540450726910/APJ_Abdul_Kalam_on_CREATIVITY.m3u8,0,0,40,0,0,0,4584319_0_8538184206947507,4584319_1761499465_7451318594363578,6,0,0,0,0,,,0,2025-10-26 17:24:50,2025-11-14 15:06:00,
62,6073b8d5-a550-4505-8b70-e78232d405d6,e69e171d-9864-46ba-b775-d0980fcfa23d,5f5e9589-dabc-476d-8660-6e40379ad05a,0,168,fastest car,fastest car,,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm/4584322/1761500124_1489407465064282/FASTEST_CAR_ON_THE_PLANET.mpd,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm_ios/4584322/1761500124_6095067328707601/FASTEST_CAR_ON_THE_PLANET.m3u8,0,0,3,0,0,0,4584322_0_7852230678768832,4584322_1761500124_7996982761000923,6,0,0,0,0,,,0,2025-10-26 17:38:15,2025-11-18 06:40:00,
63,6073b8d5-a550-4505-8b70-e78232d405d6,95e19cfd-e964-472c-97bc-fd86cc7d7d90,5f5e9589-dabc-476d-8660-6e40379ad05a,0,93,Dance Of The Wind,Dance Of The Wind,,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm/4584326/1761500220_6122185946717827/Dance_of_the_Wind.mpd,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm_ios/4584326/1761500220_7508930307863320/Dance_of_the_Wind.m3u8,0,0,9,0,0,0,4584326_0_7120808974740943,4584326_1761500220_6044164212877551,6,0,0,0,0,,,0,2025-10-26 17:38:29,2025-12-02 11:15:00,
64,6073b8d5-a550-4505-8b70-e78232d405d6,e6abf2df-e1ca-4ab4-9a80-1502fea85778,5f5e9589-dabc-476d-8660-6e40379ad05a,0,79,king kohli 122,king kohli 122,,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm/4584327/1761500253_1134906687459197/king_122_NO.mpd,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm_ios/4584327/1761500253_6621320113289888/king_122_NO.m3u8,0,0,0,0,0,0,4584327_0_9880234975685568,4584327_1761500253_7758170519994138,6,0,0,0,0,,,0,2025-10-26 17:38:59,2025-10-28 12:26:44,
65,6073b8d5-a550-4505-8b70-e78232d405d6,64888d0d-9462-4572-82a1-093355ad2ff8,5f5e9589-dabc-476d-8660-6e40379ad05a,0,263,Shape Of you 1,Shape Of you 1,,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm/4584325/1761500143_2994766987273566/WhatsApp_Video_2025-10-13_at_11.10.13_ebc455ab.mpd,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm_ios/4584325/1761500143_1940036461655356/WhatsApp_Video_2025-10-13_at_11.10.13_ebc455ab.m3u8,0,0,24,0,0,0,4584325_0_2587587853626095,4584325_1761500143_5696833954357305,0,0,0,0,0,,,0,2025-10-26 17:39:12,2025-11-21 05:13:00,
66,6073b8d5-a550-4505-8b70-e78232d405d6,93cd9abb-16b9-4a79-8edb-378cde0e1224,5f5e9589-dabc-476d-8660-6e40379ad05a,0,43,lambo vs ducati,lambo vs ducati,,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm/4584332/1761500673_5785624645746750/Lamborghini_Temerario_VS_Ducati_Panigale.mpd,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm_ios/4584332/1761500673_4621519095710668/Lamborghini_Temerario_VS_Ducati_Panigale.m3u8,0,0,3,0,0,0,4584332_0_1011875910680906,4584332_1761500673_9335800689788245,6,0,0,0,0,,,0,2025-10-26 17:45:30,2025-11-07 07:39:00,
67,23e75f46-a256-4a5e-9cfd-f9f047d6a2ae,20111402-7acf-480d-ac4d-3facb36ca1b5,9b56ddeb-d4d2-4dad-a3d5-a56b81263534,0,143,movie trailer,trailer,,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm/4584337/1761501514_5832736285169392/video_162dcd3b90e6ac89_1761500572.mpd,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm_ios/4584337/1761501514_5770761066858777/video_162dcd3b90e6ac89_1761500572.m3u8,0,0,0,0,0,0,4584337_0_8653528943925985,4584337_1761501514_2419084668290320,4,0,0,0,0,,,0,2025-10-26 18:00:50,2025-10-28 12:26:44,
68,6073b8d5-a550-4505-8b70-e78232d405d6,faeff0ed-7bc7-4fee-ab5f-55d52af5e239,5f5e9589-dabc-476d-8660-6e40379ad05a,5,134,Suryaputra Karn,Suryaputra Karn,,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm/4584338/1761501555_4187743751547282/Prabhas_as_Suryaputra_Karna.mpd,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm_ios/4584338/1761501555_3806100709138956/Prabhas_as_Suryaputra_Karna.m3u8,0,0,35,0,0,0,4584338_0_2269577824687334,4584338_1761501555_3294442837679463,6,0,0,0,0,,,0,2025-10-26 18:01:37,2025-12-01 10:00:00,
69,6073b8d5-a550-4505-8b70-e78232d405d6,fb47efa0-2366-4ea3-88d5-7c2e6ff77fba,5f5e9589-dabc-476d-8660-6e40379ad05a,0,168,fast car,fast car,,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm/4584339/1761501582_2633815637023383/SSYouTube.online_FASTEST_CAR_ON_THE_PLANET_720p.mpd,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm_ios/4584339/1761501582_7364504816872905/SSYouTube.online_FASTEST_CAR_ON_THE_PLANET_720p.m3u8,0,0,6,0,0,0,4584339_0_2701116495875673,4584339_1761501582_3068365381488491,7,0,0,0,0,,,0,2025-10-26 18:02:53,2025-11-28 06:53:00,
70,6073b8d5-a550-4505-8b70-e78232d405d6,be130563-e31d-4326-89e9-93800bdd6aee,5f5e9589-dabc-476d-8660-6e40379ad05a,0,54,redbull f1 miami,redbull f1 miami,,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm/4584352/1761503027_6897982717288762/Redbull_f1_takes_Miami.mpd,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm_ios/4584352/1761503027_9407949933805693/Redbull_f1_takes_Miami.m3u8,0,0,18,0,1,0,4584352_0_1790124003873514,4584352_1761503027_6283966151656050,6,0,0,0,0,,,0,2025-10-26 18:24:51,2025-11-18 07:08:00,
71,6073b8d5-a550-4505-8b70-e78232d405d6,c1ed76ab-7a3a-47f7-bff3-ff1eec2955a8,5f5e9589-dabc-476d-8660-6e40379ad05a,0,87,rafale fighter jet,,,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm/4584350/1761503005_9533812849902930/Rafale_fighter_jet.mpd,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm_ios/4584350/1761503005_8702219633042681/Rafale_fighter_jet.m3u8,0,0,7,0,0,0,4584350_0_4205556062101989,4584350_1761503005_4407210779704500,6,0,0,0,0,,,0,2025-10-26 18:25:05,2025-11-14 14:46:00,
72,6073b8d5-a550-4505-8b70-e78232d405d6,0942326c-8133-4087-a536-254114406471,5f5e9589-dabc-476d-8660-6e40379ad05a,0,41,APJ inspiration,APJ inspiration,,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm/4584353/1761503059_8543431415865741/The_man_who_Inspired_Dr_APJ_Abdul_Kalam.mpd,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm_ios/4584353/1761503059_4888565773136681/The_man_who_Inspired_Dr_APJ_Abdul_Kalam.m3u8,0,0,12,0,0,0,4584353_0_6296696561339046,4584353_1761503059_5048875910133293,6,0,0,0,0,,,0,2025-10-26 18:25:26,2025-11-28 08:23:00,
73,6073b8d5-a550-4505-8b70-e78232d405d6,c447c20e-3398-4e25-8feb-12dc760ba35e,5f5e9589-dabc-476d-8660-6e40379ad05a,0,16,APJ Abdul Kalam On Creativity,APJ Abdul Kalam On Creativity,,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm/4584356/1761503120_5597988836665360/APJ_Abdul_Kalam_on_CREATIVITY.mpd,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm_ios/4584356/1761503120_5329610292723278/APJ_Abdul_Kalam_on_CREATIVITY.m3u8,0,0,9,0,0,0,4584356_0_2686891677868325,4584356_1761503120_7452893860188323,0,0,0,0,0,,,0,2025-10-26 18:25:49,2025-11-07 12:24:00,
74,6073b8d5-a550-4505-8b70-e78232d405d6,0f01603c-e616-48c2-9dbc-7b0edf1e9475,5f5e9589-dabc-476d-8660-6e40379ad05a,0,166,Virat Vs AUS,virat vs aus,,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm/4584354/1761503080_7586930678122980/Virat_Kohli_Makes_The_Australian_Cricket_Team_Pay.mpd,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm_ios/4584354/1761503080_2755107873633218/Virat_Kohli_Makes_The_Australian_Cricket_Team_Pay.m3u8,0,0,5,1,0,0,4584354_0_4888009457893942,4584354_1761503080_2028721603459877,6,0,0,0,0,,,0,2025-10-26 18:27:51,2025-12-01 12:57:00,
75,6073b8d5-a550-4505-8b70-e78232d405d6,658e6cae-960b-4220-97a9-ff5f80c96b77,5f5e9589-dabc-476d-8660-6e40379ad05a,0,100, tejas ride,tejas ride,,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm/4584361/1761504620_9936758319499253/Prime_Minister_Narendra_Modi_takes_a_sortie_on_Tejas.mpd,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm_ios/4584361/1761504620_3838482371884059/Prime_Minister_Narendra_Modi_takes_a_sortie_on_Tejas.m3u8,0,0,15,0,0,0,4584361_0_5289642669369974,4584361_1761504620_5542910769818708,6,0,0,0,0,,,0,2025-10-26 18:52:03,2025-11-26 05:20:00,
77,6073b8d5-a550-4505-8b70-e78232d405d6,74454822-2267-463e-b142-2d81ecfa8422,5f5e9589-dabc-476d-8660-6e40379ad05a,5,174,mid air save,mid air save,,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm/4584370/1761506297_6978719351597911/video_00cec4a334c310d4_1761505335.mpd,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm_ios/4584370/1761506297_8542479610188610/video_00cec4a334c310d4_1761505335.m3u8,0,0,7,1,1,0,4584370_0_7834290563906628,4584370_1761506297_7806742817434208,6,0,0,0,0,,,0,2025-10-26 19:21:42,2025-11-19 07:59:00,
78,a78eeba5-1ca6-418d-be3c-c656ebf25c14,f285879d-0355-40eb-be50-447ffb6e0278,ab007cb4-51a3-4994-8e83-402e338b39be,0,9,Cat,Cat,,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm/4584374/1761508937_8265482175522851/video_a016a706fb5fbd2d_1761508828.mpd,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm_ios/4584374/1761508937_1083022563970160/video_a016a706fb5fbd2d_1761508828.m3u8,0,0,91,2,2,0,4584374_0_2768222750314309,4584374_1761508937_9435995951555015,0,0,0,0,0,,,0,2025-10-26 20:02:36,2025-12-03 05:54:00,
81,6073b8d5-a550-4505-8b70-e78232d405d6,72afe8d2-9890-4cd4-9186-a79ff6c3150d,5f5e9589-dabc-476d-8660-6e40379ad05a,0,111,Bugatti Chiron,Bugatti Chiron,,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm/4584559/1761543729_9014423730092029/video_1587b459516af5b6_1761543159.mpd,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm_ios/4584559/1761543729_3250583590204485/video_1587b459516af5b6_1761543159.m3u8,0,0,20,3,1,0,4584559_0_1299717304896824,4584559_1761543729_9723803784613899,6,0,0,0,0,,,0,2025-10-27 05:44:07,2025-12-03 05:39:00,
